t,T,P,edge,bal,ela,area
162.0,1.914305412108848,5.0,10500.0,-6477552.125278192,1153.9063784153977,18622659.96130597
163.0,2.1789072944437615,5.0,10400.0,-9444466.3185545,1191.4705341708163,18562659.96130597
164.0,1.747490111613728,5.0,10300.0,-4025934.291253511,1123.629256659323,18502659.96130597
165.0,0.34350355337695415,5.0,10250.0,12926822.127126941,910.98610594203,18472659.96130597
166.0,2.556673440338616,5.0,10250.0,-13662855.683056705,1252.7009057080609,18472659.96130597
167.0,1.520740607924501,5.0,10200.0,-1130083.2323903693,1089.3730730110283,18442659.96130597
168.0,1.8651055700213925,5.0,10150.0,-5159934.140253659,1146.6138331876682,18412659.96130597
169.0,2.067825648572284,5.0,10150.0,-7600555.11979218,1176.0238817615116,18412659.96130597
170.0,2.1775567716842774,5.0,10100.0,-8811417.893183235,1190.7761704213212,18382659.96130597
171.0,2.0889897578407366,5.0,10100.0,-7770201.253968407,1177.8082405706919,18382659.96130597
172.0,1.2903917357167538,5.0,10100.0,1753044.4391782433,1055.3206277104525,18382659.96130597
173.0,1.9141746590692188,5.0,10050.0,-5607288.228150722,1152.859103966265,18352659.96130597
174.0,2.0338642387692074,5.0,10050.0,-7052867.092611205,1170.467278820478,18352659.96130597
175.0,1.4762083881508756,5.0,10050.0,-418943.42641374376,1088.1679989752038,18352659.96130597
176.0,2.2696661479834512,5.0,10000.0,-9784479.867559355,1207.3390649232006,18322659.96130597
177.0,1.8047621627429278,5.0,10000.0,-4265904.916535061,1129.5586013887967,18322659.96130597
178.0,0.5506709253122244,5.0,9950.0,10734198.307534646,940.0347458011043,18292659.96130597
179.0,1.1870866825575392,5.0,9950.0,3150532.9543844927,1044.6672924392676,18292659.96130597
180.0,1.511652552618739,5.0,9950.0,-720789.9040789502,1088.7560528789115,18292659.96130597
181.0,2.160319731145276,5.0,9950.0,-8443362.322131168,1190.5414338798269,18292659.96130597
182.0,0.623466741918949,5.0,9900.0,9904983.726472175,952.2850373310996,18262659.96130597
183.0,0.605942777573115,5.0,9900.0,10104585.043938655,950.541680829616,18262659.96130597
184.0,1.9997415339852145,5.0,9900.0,-6444351.74554496,1168.2665006746515,18262659.96130597
